"transect_id","survey_date","Transect_site","site_lat","site_lon","site_habitat","specific_site","length_m","length_validty","visibility_m","visibility_confidence","turn","temp_deg_c","track_name","obs_num","sp_visual_identification","sex","disk_width_cm","width_validity","activity","obs_lat","obs_lon","depth_m","depth_accuracy","water_temp_c","obs_habitat","photo_name","Observation_time","concurring_observation","dive_type","Observation_in_transect"
"43951Gador ShallowNo1.300m",2020-04-30,"Gador Reserve",32.41921,34.87021,"S-R","Shahar Transect",300,1,7,2,"W",22,"",5,"Dasiyatis chrysonota","M",NA,NA,"hidden in sand",NA,NA,4,2,22,"sand next to rock rim","","8:10",1,"Snorkling+freedives",1
"43951Gador ShallowNo2.200m",2020-04-30,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",200,1,6,2,"",22,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43951Gador ShallowNo3.355m",2020-04-30,"Gador Reserve",32.41921,34.87021,"S-R","Shahar Transect",355,1,7,2,"E",22,"",6,"Taeniurops grabatus","M",60,3,"hidden under a rock",NA,NA,4,2,22,"sand next to rock rim","","",1,"Snorkling+freedives",1
"43951Gador ShallowNo4.230m",2020-04-30,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",230,1,6,2,"",22,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43965Gador ShallowNo1.150m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",150,1,6,2,"",23,"20200514Gdor",14,"Dasiyatis pastinaca","M",NA,NA,"swimming",NA,NA,6,2,23,"sand next to rock rim","14.Das","8:04",1,"Snorkling+freedives",4
"43965Gador ShallowNo1.150m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",150,1,6,2,"",23,"20200514Gdor",16,"Dasiyatis pastinaca","",40,3,"hidden in sand",NA,NA,6,2,23,"sand next to rock rim","16.Das_1/16.Das_2","",1,"Snorkling+freedives",4
"43965Gador ShallowNo1.150m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",150,1,6,2,"",23,"20200514Gdor",18,"Himantura uarnak","F",55,3,"resting",NA,NA,6,2,23,"sand next to rock rim","18.Hym_1-4","",1,"Snorkling+freedives",4
"43965Gador ShallowNo1.150m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",150,1,6,2,"",23,"20200514Gdor",20,"Dasiyatis pastinaca","F",30,3,"resting",NA,NA,1,2,23,"sand pool","20.Das","8:30",1,"Snorkling+freedives",4
"43965Gador ShallowNo2.450m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",450,1,6,2,"",23,"20200514Gdor",15,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,6,2,23,"sand next to rock rim","15.Das","8:05",1,"Snorkling+freedives",4
"43965Gador ShallowNo2.450m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",450,1,6,2,"",23,"20200514Gdor",17,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,6,2,23,"sand next to rock rim","","",1,"Snorkling+freedives",4
"43965Gador ShallowNo2.450m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",450,1,6,2,"",23,"20200514Gdor",19,"Dasiyatis pastinaca","F",30,3,"swimming",NA,NA,1,2,23,"rock","","",1,"Snorkling+freedives",4
"43965Gador ShallowNo2.450m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",450,1,6,2,"",23,"20200514Gdor",21,"Dasiyatis pastinaca","F",40,3,"bottom swimming",NA,NA,2,2,23,"sand pool","21.Das_1/_2","",1,"Snorkling+freedives",4
"43965Gador ShallowNo3.530m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",530,1,6,2,"",23,"20200514Gdor",22,"Dasiyatis pastinaca","F",35,3,"resting",NA,NA,1.5,2,23,"rock","","",1,"Snorkling+freedives",5
"43965Gador ShallowNo3.530m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",530,1,6,2,"",23,"20200514Gdor",24,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,1,2,23,"sand pool","23.Das","8:50",1,"Snorkling+freedives",5
"43965Gador ShallowNo3.530m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",530,1,6,2,"",23,"20200514Gdor",26,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,4,2,23,"sand pool","25-26Das","8:54",1,"Snorkling+freedives",5
"43965Gador ShallowNo3.530m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",530,1,6,2,"",23,"20200514Gdor",28,"Dasiyatis chrysonota","F",40,3,"hidden in sand",NA,NA,4,2,23,"sand pool","28.Das_1","8:56",1,"Snorkling+freedives",5
"43965Gador ShallowNo3.530m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",530,1,6,2,"",23,"20200514Gdor",30,"Dasiyatis pastinaca","M",30,3,"swimming",NA,NA,4,2,23,"rock","30.Das","8:58",1,"Snorkling+freedives",5
"43965Gador ShallowNo4.190m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",190,1,6,2,"",23,"20200514Gdor",23,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,1,2,23,"sand pool","22.Das","8:49",1,"Snorkling+freedives",5
"43965Gador ShallowNo4.190m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",190,1,6,2,"",23,"20200514Gdor",25,"Himantura uarnak","F",60,3,"hidden in sand",NA,NA,3,2,23,"sand pool","24.Hym1-5","8:51",1,"Snorkling+freedives",5
"43965Gador ShallowNo4.190m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",190,1,6,2,"",23,"20200514Gdor",27,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,4,2,23,"sand pool","25-26Das","8:54",1,"Snorkling+freedives",5
"43965Gador ShallowNo4.190m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",190,1,6,2,"",23,"20200514Gdor",29,"Dasiyatis pastinaca","F",40,3,"swimming",NA,NA,4,2,23,"sand pool","29.Das","8:57",1,"Snorkling+freedives",5
"43965Gador ShallowNo4.190m",2020-05-14,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",190,1,6,2,"",23,"20200514Gdor",31,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,4,2,23,"sand pool","31.Das","9:04",1,"Snorkling+freedives",5
"43968Gador ShallowNo1.313",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",313,2,7,2,"",NA,"",32,"Dasiyatis pastinaca","",30,3,"hidden in sand",NA,NA,2,2,NA,"sand","","",NA,"Snorkling+freedives",5
"43968Gador ShallowNo1.313",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",313,2,7,2,"",NA,"",33,"Dasiyatis pastinaca","",30,3,"hidden in sand",NA,NA,2,2,NA,"sand","","",NA,"Snorkling+freedives",5
"43968Gador ShallowNo1.313",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",313,2,7,2,"",NA,"",34,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,2,2,NA,"sand next to rock rim","8160001","",NA,"Snorkling+freedives",5
"43968Gador ShallowNo1.313",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",313,2,7,2,"",NA,"",35,"Dasiyatis pastinaca","F",40,3,"hidden in sand",NA,NA,2,2,NA,"sand next to rock rim","8160001","",NA,"Snorkling+freedives",5
"43968Gador ShallowNo1.313",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",313,2,7,2,"",NA,"",36,"Dasiyatis pastinaca","F",45,3,"hidden in sand",NA,NA,3,2,NA,"sand next to rock rim","8250001","",NA,"Snorkling+freedives",5
"43968Gador ShallowNo2.420",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",420,2,7,2,"",NA,"",37,"Dasiyatis pastinaca","F",30,3,"hidden in sand",NA,NA,7,2,NA,"sand next to rock rim","","",NA,"Snorkling+freedives",3
"43968Gador ShallowNo2.420",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",420,2,7,2,"",NA,"",38,"Dasiyatis pastinaca","F",30,3,"swimming",NA,NA,7,2,NA,"sand next to rock rim","","",NA,"Snorkling+freedives",3
"43968Gador ShallowNo2.420",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",420,2,7,2,"",NA,"",39,"Dasiyatis pastinaca","F-vis preg.",40,3,"hidden in sand",NA,NA,7,2,NA,"sand next to rock rim","200517-39 pastica","",NA,"Snorkling+freedives",3
"43968Gador ShallowNo3.420",2020-05-17,"Gador Reserve",32.41921,34.87021,"","Shahar Transect",420,2,7,2,"",NA,"",40,"Dasiyatis pastinaca","F",30,3,"feeding",NA,NA,2.5,2,NA,"sand next to rock rim","8330001","",NA,"Snorkling+freedives",3
